SUBSTÂNCIA;LABORATÓRIO;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);PMC Sem Impostos;TARJA;;
ACECLOFENACO;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;ACECLOFENACO;100 MG COM REV CT ENV AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;39,08;- (*) ;;
ACECLOFENACO;GERMED FARMACEUTICA LTDA;ACECLOFENACO;15 MG/G CREM DERM CT BG AL X 30 G ;M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS;Genérico;27,27;- (*) ;;
ACECLOFENACO;GERMED FARMACEUTICA LTDA;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;40,93;- (*) ;;
ACECLOFENACO;GERMED FARMACEUTICA LTDA;ACECLOFENACO;100 MG COM REV CT BL AL AL X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;81,77;- (*) ;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;43,30;- (*) ;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACECLOFENACO;100 MG COM REV CT BL AL AL X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;86,61;- (*) ;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 6 ;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;21,66;Tarja Vermelha;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;43,30;Tarja Vermelha;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 16;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;57,73;Tarja Vermelha;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEFLOR;100 MG  COM  REV CT BL AL PLAS OPC X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;86,61;Tarja Vermelha;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEFLOR;100 MG  COM  REV CT BL AL AL X 6;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;21,66;Tarja Vermelha;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEFLOR;100 MG  COM  REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;43,30;Tarja Vermelha;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEFLOR;100 MG  COM  REV CT BL AL AL X 16 ;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;57,73;Tarja Vermelha;;
ACECLOFENACO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEFLOR;100 MG  COM  REV CT BL AL AL X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;86,61;Tarja Vermelha;;
ACECLOFENACO;RANBAXY FARMACÊUTICA LTDA;ACECLOFENACO;100 MG COM REV CT STR AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;40,27;Tarja Vermelha;;
ACECLOFENACO;RANBAXY FARMACÊUTICA LTDA;ACECLOFENACO;100 MG COM REV CT STR AL X 24;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;75,36;Tarja Vermelha;;
ACECLOFENACO;CIMED INDUSTRIA S.A;ACECLOFENACO;100 MG COM REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;39,81;Tarja Vermelha;;
ACECLOFENACO;ZYDUS NIKKHO FARMACÊUTICA LTDA;ACECLOFENACO;100 MG COM CT BL AL/AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;43,26;Tarja Vermelha;;
ACECLOFENACO;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;ACECLO-GRAN;100 MG COM REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Similar;51,40;Tarja Vermelha;;
ACEPONATO DE METILPREDNISOLONA;LEO PHARMA LTDA;ADVANTAN;1 MG/G CREM DERM CT BG AL X 15 G;D7A - CORTICOESTERÓIDES TÓPICOS PUROS;Novo;66,04;Tarja Vermelha;;
ACEPONATO DE METILPREDNISOLONA;LEO PHARMA LTDA;ADVANTAN;1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML;D7A - CORTICOESTERÓIDES TÓPICOS PUROS;Novo;90,45;Tarja Vermelha;;
ACEPONATO DE METILPREDNISOLONA;LEO PHARMA LTDA;ADVANTAN;1 MG/G EMU DERM CT BG AL X 20 G;D7A - CORTICOESTERÓIDES TÓPICOS PUROS;Novo;84,60;Tarja Vermelha;;
ACETATO DE ABIRATERONA;LIBBS FARMACÊUTICA LTDA;ZOSTIDE;250 MG COM CT BL AL PLAS PVC/PVDC TRANS X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;14893,26;Tarja Vermelha;;
ACETATO DE ABIRATERONA;EUROFARMA LABORATORIOS S.A.;MATIZ;250 MG COM CT BL AL PLAS TRANS X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;15241,14;Tarja Vermelha;;
ACETATO DE ABIRATERONA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;ACETATO DE ABIRATERONA;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Genérico;10028,71;Tarja Vermelha;;
ACETATO DE ABIRATERONA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ABMETHA;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;13851,29;Tarja Vermelha;;
ACETATO DE ABIRATERONA;GLENMARK FARMACÊUTICA LTDA;ACETATO DE ABIRATERONA;500 MG COM REV CT FR PLAS PEAD OPC X 60;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Genérico;10028,60;Tarja Vermelha;;
ACETATO DE ABIRATERONA;GLENMARK FARMACÊUTICA LTDA;SPYLGLEN;500 MG COM REV CT FR PLAS PEAD OPC X 60;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;13628,17;Tarja Vermelha;;
ACETATO DE ABIRATERONA;JANSSEN-CILAG FARMACEUTICA LTDA;ZYTIGA;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Novo;15428,83;Tarja Vermelha;;
ACETATO DE ABIRATERONA;JANSSEN-CILAG FARMACEUTICA LTDA;ZYTIGA®;500 MG COM REV CT FR PLAS PEAD OPC X 60;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Novo;15428,83;Tarja Vermelha;;
ACETATO DE ABIRATERONA;RANBAXY FARMACÊUTICA LTDA;VENOMY;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;15089,78;Tarja Vermelha;;
ACETATO DE ABIRATERONA;SUN FARMACÊUTICA DO BRASIL LTDA;ACETATO DE ABIRATERONA;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Genérico;10028,70;Tarja Vermelha;;
ACETATO DE ABIRATERONA;SUN FARMACÊUTICA DO BRASIL LTDA;ABBA;250 MG COM CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;10028,70;Tarja Vermelha;;
ACETATO DE ABIRATERONA;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Genérico;10027,99;Tarja Vermelha;;
ACETATO DE ABIRATERONA;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;ACETATO DE ABIRATERONA;500 MG COM REV CT FR PLAS PEAD OPC X 60;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Genérico;10028,73;Tarja Vermelha;;
ACETATO DE ABIRATERONA;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;BALEFIO;500 MG COM REV CT FR PLAS PEAD OPC X 60;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;15427,51;Tarja Vermelha;;
ACETATO DE ABIRATERONA;TEVA FARMACÊUTICA LTDA.;RARIJA;250 MG COM REV CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Similar;14271,62;Tarja Vermelha;;
ACETATO DE ABIRATERONA;TEVA FARMACÊUTICA LTDA.;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS PEAD OPC X 120;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS;Genérico;10028,72;Tarja Vermelha;;
ACETATO DE ATOSIBANA;LABORATÓRIOS FERRING LTDA;TRACTOCILE;7,5 MG/ML SOL INJ CT FA VD TRANS X 0,9 ML;G2E - INIBIDORES DO PARTO;Novo;;Tarja Vermelha;;
ACETATO DE ATOSIBANA;LABORATÓRIOS FERRING LTDA;TRACTOCILE;7,5 MG/ML SOL DIL INFUS CT FA VD TRANS X 5 ML;G2E - INIBIDORES DO PARTO;Novo;;Tarja Vermelha;;
ACETATO DE ATOSIBANA;ACCORD FARMACÊUTICA LTDA;ACETATO DE ATOSIBANA;7,50 MG/ML SOL DIL INJ CT FA VD TRANS X 5 ML;G2E - INIBIDORES DO PARTO;Genérico;;Tarja Vermelha;;
